question_id,related_question_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,w2v_cosine_similarity,relevance
Q293,Q293_R32,Q293_R32_C8,1.0,113,0.838,0.034,Bad
Q293,Q293_R32,Q293_R32_C9,0.919,272,0.944,0.332,Good
Q293,Q293_R32,Q293_R32_C10,0.923,38,0.911,0.091,Bad
Q293,Q293_R51,Q293_R51_C1,0.88,310,0.961,0.538,Good
Q293,Q293_R51,Q293_R51_C2,0.881,817,0.964,0.413,Good
Q293,Q293_R51,Q293_R51_C3,0.909,123,0.903,0.309,Bad
Q293,Q293_R51,Q293_R51_C4,0.957,115,0.832,0.058,Bad
Q293,Q293_R51,Q293_R51_C5,0.921,113,0.912,0.182,Good
Q293,Q293_R51,Q293_R51_C6,0.882,292,0.718,0.42,Good
Q293,Q293_R51,Q293_R51_C7,0.911,392,0.745,0.18,Bad
Q293,Q293_R51,Q293_R51_C8,0.909,115,0.873,0.31,Bad
Q293,Q293_R51,Q293_R51_C9,0.907,252,0.945,0.31,Good
Q293,Q293_R51,Q293_R51_C10,0.906,337,0.942,0.293,Good
Q293,Q293_R58,Q293_R58_C1,0.969,72,0.854,0.324,Good
Q293,Q293_R58,Q293_R58_C2,1.0,119,0.721,0.114,Good
Q293,Q293_R58,Q293_R58_C3,0.978,5,0.897,-0.045,Good
Q293,Q293_R58,Q293_R58_C4,0.933,79,0.868,0.186,Bad
Q293,Q293_R58,Q293_R58_C5,0.967,80,0.848,0.08,Bad
Q293,Q293_R58,Q293_R58_C6,0.969,80,0.85,0.172,Good
Q293,Q293_R58,Q293_R58_C7,0.826,114,0.877,0.185,Bad
Q293,Q293_R58,Q293_R58_C8,0.931,92,0.925,0.361,Bad
Q293,Q293_R58,Q293_R58_C9,0.923,106,0.791,-0.037,Bad
Q293,Q293_R58,Q293_R58_C10,0.967,96,0.874,0.329,Bad
Q293,Q293_R60,Q293_R60_C1,0.943,55,0.913,0.268,Good
Q293,Q293_R60,Q293_R60_C2,0.93,59,0.928,0.366,Good
Q293,Q293_R60,Q293_R60_C3,0.892,227,0.918,0.063,Good
Q293,Q293_R60,Q293_R60_C4,0.884,225,0.95,0.464,Bad
Q293,Q293_R60,Q293_R60_C5,0.893,329,0.961,0.55,Bad
Q293,Q293_R60,Q293_R60_C6,0.879,160,0.943,0.467,Good
Q293,Q293_R60,Q293_R60_C7,0.921,567,0.936,0.368,PotentiallyUseful
Q293,Q293_R60,Q293_R60_C8,0.926,34,0.912,0.205,Bad
Q293,Q293_R60,Q293_R60_C9,0.909,150,0.927,0.374,Bad
Q293,Q293_R60,Q293_R60_C10,0.962,27,0.855,0.046,Good
Q294,Q294_R2,Q294_R2_C1,0.951,89,0.912,0.509,Good
Q294,Q294_R2,Q294_R2_C2,0.761,3,0.968,0.666,Bad
Q294,Q294_R2,Q294_R2_C3,0.904,173,0.951,0.61,Good
Q294,Q294_R2,Q294_R2_C4,0.797,76,0.968,0.76,PotentiallyUseful
Q294,Q294_R2,Q294_R2_C5,0.886,112,0.932,0.57,Bad
Q294,Q294_R2,Q294_R2_C6,0.959,25,0.93,0.509,Good
Q294,Q294_R2,Q294_R2_C7,0.921,106,0.901,0.517,Bad
Q294,Q294_R2,Q294_R2_C8,0.855,218,0.97,0.723,Bad
Q294,Q294_R2,Q294_R2_C9,0.975,103,0.923,0.454,PotentiallyUseful
Q294,Q294_R2,Q294_R2_C10,0.887,68,0.958,0.627,Bad
Q294,Q294_R12,Q294_R12_C1,0.976,77,0.915,0.583,Good
Q294,Q294_R12,Q294_R12_C2,0.919,93,0.936,0.64,Good
Q294,Q294_R12,Q294_R12_C3,0.791,36,0.973,0.768,Bad
Q294,Q294_R12,Q294_R12_C4,0.962,2,0.938,0.496,Bad
Q294,Q294_R12,Q294_R12_C5,1.0,101,0.869,0.568,PotentiallyUseful
Q294,Q294_R12,Q294_R12_C6,0.951,76,0.917,0.429,Bad
Q294,Q294_R12,Q294_R12_C7,0.903,93,0.96,0.657,Good
Q294,Q294_R12,Q294_R12_C8,0.839,141,0.974,0.618,Good
Q294,Q294_R12,Q294_R12_C9,0.826,9,0.962,0.66,Bad
Q294,Q294_R12,Q294_R12_C10,0.897,239,0.933,0.531,PotentiallyUseful
Q294,Q294_R13,Q294_R13_C1,0.96,83,0.886,0.243,Good
Q294,Q294_R13,Q294_R13_C2,0.929,15,0.908,0.528,Good
Q294,Q294_R13,Q294_R13_C3,0.868,128,0.887,0.576,Bad
Q294,Q294_R13,Q294_R13_C4,0.976,136,0.883,0.468,Bad
Q294,Q294_R13,Q294_R13_C5,0.974,154,0.869,0.593,Bad
Q294,Q294_R13,Q294_R13_C6,0.795,74,0.949,0.641,Bad
Q294,Q294_R13,Q294_R13_C7,0.877,242,0.94,0.507,Good
Q294,Q294_R13,Q294_R13_C8,0.946,22,0.905,0.289,Good
Q294,Q294_R13,Q294_R13_C9,1.0,180,0.0,-0.058,Good
Q294,Q294_R13,Q294_R13_C10,0.909,117,0.858,0.515,Good
Q294,Q294_R24,Q294_R24_C1,0.95,131,0.943,0.363,Good
Q294,Q294_R24,Q294_R24_C2,0.881,209,0.887,0.589,Bad
Q294,Q294_R24,Q294_R24_C3,0.957,194,0.819,0.593,Bad
Q294,Q294_R24,Q294_R24_C4,0.902,392,0.939,0.358,Good
Q294,Q294_R24,Q294_R24_C5,0.808,28,0.982,0.742,Bad
Q294,Q294_R24,Q294_R24_C6,0.894,175,0.93,0.6,Bad
Q294,Q294_R24,Q294_R24_C7,0.903,54,0.967,0.449,PotentiallyUseful
Q294,Q294_R24,Q294_R24_C8,0.824,156,0.96,0.628,PotentiallyUseful
Q294,Q294_R24,Q294_R24_C9,0.875,104,0.93,0.58,PotentiallyUseful
Q294,Q294_R24,Q294_R24_C10,0.857,36,0.931,0.62,Bad
Q294,Q294_R26,Q294_R26_C1,0.983,272,0.668,0.146,Good
Q294,Q294_R26,Q294_R26_C2,0.983,281,0.648,0.242,Good
Q294,Q294_R26,Q294_R26_C3,0.896,118,0.967,0.368,Good
Q294,Q294_R26,Q294_R26_C4,0.823,109,0.969,0.714,Bad
Q294,Q294_R26,Q294_R26_C5,0.952,247,0.872,0.388,Good
Q294,Q294_R26,Q294_R26_C6,0.953,245,0.899,0.43,Good
Q294,Q294_R26,Q294_R26_C7,0.91,208,0.913,0.267,Good
Q294,Q294_R26,Q294_R26_C8,0.902,57,0.962,0.236,Good
Q294,Q294_R26,Q294_R26_C9,0.941,203,0.938,0.394,Bad
Q294,Q294_R26,Q294_R26_C10,0.863,132,0.86,0.333,Good
Q294,Q294_R46,Q294_R46_C1,0.849,226,0.951,0.655,Good
Q294,Q294_R46,Q294_R46_C2,0.972,275,0.921,0.293,Good
Q294,Q294_R46,Q294_R46_C3,0.85,136,0.957,0.586,Good
Q294,Q294_R46,Q294_R46_C4,0.809,99,0.969,0.579,Good
Q294,Q294_R46,Q294_R46_C5,0.912,669,0.845,0.025,Good
Q294,Q294_R46,Q294_R46_C6,0.962,82,0.952,0.39,PotentiallyUseful
Q294,Q294_R46,Q294_R46_C7,0.874,131,0.93,0.385,Good
Q294,Q294_R46,Q294_R46_C8,0.841,246,0.936,0.516,Bad
Q294,Q294_R46,Q294_R46_C9,0.884,117,0.954,0.459,Bad
Q294,Q294_R46,Q294_R46_C10,0.853,187,0.935,0.466,PotentiallyUseful
Q294,Q294_R47,Q294_R47_C1,0.818,293,0.962,0.542,Bad
Q294,Q294_R47,Q294_R47_C2,0.855,172,0.971,0.651,Good
Q294,Q294_R47,Q294_R47_C3,0.955,253,0.942,0.523,Good
Q294,Q294_R47,Q294_R47_C4,0.953,265,0.95,0.688,PotentiallyUseful
Q294,Q294_R47,Q294_R47_C5,0.757,159,0.977,0.782,Bad
Q294,Q294_R47,Q294_R47_C6,1.0,245,0.934,0.365,Bad
Q294,Q294_R47,Q294_R47_C7,0.857,109,0.977,0.696,Bad
Q294,Q294_R47,Q294_R47_C8,0.878,185,0.953,0.616,Bad
Q294,Q294_R47,Q294_R47_C9,0.883,283,0.953,0.737,Bad
Q294,Q294_R47,Q294_R47_C10,0.934,297,0.937,0.655,Bad
Q294,Q294_R86,Q294_R86_C1,0.818,152,0.965,0.65,Good
Q294,Q294_R86,Q294_R86_C2,0.881,206,0.952,0.662,Bad
Q294,Q294_R86,Q294_R86_C3,0.901,164,0.956,0.636,Good
Q294,Q294_R86,Q294_R86_C4,0.935,201,0.938,0.597,Good
Q294,Q294_R86,Q294_R86_C5,0.891,207,0.943,0.652,Bad
Q294,Q294_R86,Q294_R86_C6,0.907,159,0.938,0.486,Bad
Q294,Q294_R86,Q294_R86_C7,0.9,179,0.938,0.558,Bad
Q294,Q294_R86,Q294_R86_C8,0.716,4,0.977,0.785,Bad
Q294,Q294_R86,Q294_R86_C9,0.794,163,0.962,0.736,Bad
Q294,Q294_R86,Q294_R86_C10,0.873,231,0.922,0.601,Bad
Q294,Q294_R94,Q294_R94_C1,0.836,185,0.973,0.627,PotentiallyUseful
Q294,Q294_R94,Q294_R94_C2,0.866,77,0.962,0.573,Good
Q294,Q294_R94,Q294_R94_C3,0.8,156,0.962,0.511,Bad
Q294,Q294_R94,Q294_R94_C4,0.831,9,0.968,0.638,PotentiallyUseful
Q294,Q294_R94,Q294_R94_C5,0.84,35,0.976,0.759,Bad
Q294,Q294_R94,Q294_R94_C6,0.768,257,0.956,0.692,PotentiallyUseful
Q294,Q294_R94,Q294_R94_C7,0.839,286,0.947,0.543,Bad
Q294,Q294_R94,Q294_R94_C8,0.881,274,0.942,0.638,Bad
Q294,Q294_R94,Q294_R94_C9,1.0,338,0.753,0.176,PotentiallyUseful
Q294,Q294_R94,Q294_R94_C10,0.923,232,0.878,0.294,PotentiallyUseful
Q294,Q294_R98,Q294_R98_C1,1.0,351,0.267,-0.111,Bad
Q294,Q294_R98,Q294_R98_C2,0.94,126,0.947,0.319,PotentiallyUseful
Q294,Q294_R98,Q294_R98_C3,0.932,216,0.944,0.439,PotentiallyUseful
Q294,Q294_R98,Q294_R98_C4,0.944,20,0.954,0.312,PotentiallyUseful
Q294,Q294_R98,Q294_R98_C5,1.0,265,0.773,0.058,Bad
Q294,Q294_R98,Q294_R98_C6,0.897,230,0.956,0.546,Bad
Q294,Q294_R98,Q294_R98_C7,0.882,108,0.966,0.514,Good
Q294,Q294_R98,Q294_R98_C8,0.935,279,0.898,0.402,Bad
Q294,Q294_R98,Q294_R98_C9,0.889,205,0.955,0.508,Bad
Q294,Q294_R98,Q294_R98_C10,0.949,309,0.876,0.295,Bad
Q295,Q295_R17,Q295_R17_C1,0.931,21,0.913,0.176,Good
Q295,Q295_R17,Q295_R17_C2,0.977,137,0.835,-0.087,Good
Q295,Q295_R17,Q295_R17_C3,0.914,182,0.829,0.283,Good
Q295,Q295_R17,Q295_R17_C4,0.975,167,0.895,0.441,Bad
Q295,Q295_R17,Q295_R17_C5,0.935,129,0.918,0.284,Good
Q295,Q295_R17,Q295_R17_C6,0.951,151,0.741,0.136,Good
Q295,Q295_R17,Q295_R17_C7,0.852,56,0.974,0.587,Bad
Q295,Q295_R17,Q295_R17_C8,0.942,71,0.957,0.102,Good
Q295,Q295_R17,Q295_R17_C9,0.974,159,0.869,0.32,Good
Q295,Q295_R17,Q295_R17_C10,0.976,99,0.891,0.129,Good
Q295,Q295_R28,Q295_R28_C1,0.931,29,0.945,0.303,Bad
Q295,Q295_R28,Q295_R28_C2,0.97,300,0.861,0.15,Bad
Q295,Q295_R28,Q295_R28_C3,0.861,165,0.957,0.368,Good
Q295,Q295_R28,Q295_R28_C4,0.931,269,0.961,0.353,Good
Q295,Q295_R28,Q295_R28_C5,0.861,253,0.931,0.419,Bad
Q295,Q295_R28,Q295_R28_C6,0.914,265,0.905,0.563,Bad
Q295,Q295_R28,Q295_R28_C7,0.941,293,0.948,0.419,Bad
Q295,Q295_R28,Q295_R28_C8,0.953,313,0.858,0.327,Bad
Q295,Q295_R28,Q295_R28_C9,0.873,305,0.94,0.489,Bad
Q295,Q295_R28,Q295_R28_C10,0.894,282,0.851,0.205,Bad
Q295,Q295_R31,Q295_R31_C1,0.93,37,0.934,0.372,Good
Q295,Q295_R31,Q295_R31_C2,0.846,58,0.951,0.486,Good
Q295,Q295_R31,Q295_R31_C3,0.931,51,0.943,0.323,Bad
Q295,Q295_R31,Q295_R31_C4,0.881,93,0.932,0.159,Bad
Q295,Q295_R31,Q295_R31_C5,0.915,21,0.933,0.426,PotentiallyUseful
Q295,Q295_R31,Q295_R31_C6,1.0,116,0.804,0.026,Bad
Q295,Q295_R31,Q295_R31_C7,1.0,109,0.825,0.145,Bad
Q295,Q295_R31,Q295_R31_C8,0.923,87,0.767,0.122,Bad
Q295,Q295_R31,Q295_R31_C9,1.0,113,0.808,0.099,Bad
Q295,Q295_R31,Q295_R31_C10,0.906,10,0.943,0.428,PotentiallyUseful
Q295,Q295_R32,Q295_R32_C1,0.916,61,0.967,0.105,Good
Q295,Q295_R32,Q295_R32_C2,0.819,129,0.965,0.533,Good
Q295,Q295_R32,Q295_R32_C3,0.898,221,0.959,0.526,Good
Q295,Q295_R32,Q295_R32_C4,0.892,250,0.958,0.364,Bad
Q295,Q295_R32,Q295_R32_C5,0.882,35,0.965,0.41,Good
Q295,Q295_R32,Q295_R32_C6,0.899,575,0.961,0.141,Good
Q295,Q295_R32,Q295_R32_C7,0.902,207,0.968,0.323,Bad
Q295,Q295_R32,Q295_R32_C8,0.861,501,0.97,0.304,Good
Q295,Q295_R32,Q295_R32_C9,0.894,130,0.959,0.24,Good
Q295,Q295_R32,Q295_R32_C10,0.871,589,0.981,0.489,PotentiallyUseful
Q295,Q295_R38,Q295_R38_C1,1.0,7,0.828,0.256,Bad
Q295,Q295_R38,Q295_R38_C2,0.974,172,0.797,0.035,Bad
Q295,Q295_R38,Q295_R38_C3,0.966,71,0.852,0.095,Bad
Q295,Q295_R38,Q295_R38_C4,0.927,141,0.801,0.181,PotentiallyUseful
Q295,Q295_R38,Q295_R38_C5,0.958,39,0.823,-0.007,PotentiallyUseful
Q295,Q295_R38,Q295_R38_C6,0.933,52,0.651,-0.004,Bad
Q295,Q295_R38,Q295_R38_C7,0.96,61,0.748,0.221,Bad
Q295,Q295_R38,Q295_R38_C8,0.952,24,0.815,0.006,Bad
Q295,Q295_R38,Q295_R38_C9,0.95,3,0.812,0.106,Bad
Q295,Q295_R38,Q295_R38_C10,0.889,6,0.838,-0.015,Bad
Q295,Q295_R40,Q295_R40_C1,0.868,77,0.958,0.572,PotentiallyUseful
Q295,Q295_R40,Q295_R40_C2,0.917,125,0.948,0.288,Good
Q295,Q295_R40,Q295_R40_C3,0.943,9,0.948,0.398,Good
Q295,Q295_R40,Q295_R40_C4,0.937,35,0.944,0.469,Bad
Q295,Q295_R40,Q295_R40_C5,0.946,101,0.889,0.358,Bad
Q295,Q295_R40,Q295_R40_C6,0.946,84,0.803,0.129,PotentiallyUseful
Q295,Q295_R40,Q295_R40_C7,0.837,507,0.955,0.628,Good
Q295,Q295_R40,Q295_R40_C8,0.88,10,0.944,0.49,Good
Q295,Q295_R40,Q295_R40_C9,0.907,55,0.909,0.434,Bad
Q295,Q295_R40,Q295_R40_C10,0.905,62,0.927,0.309,Good
Q295,Q295_R42,Q295_R42_C1,0.891,109,0.905,0.307,PotentiallyUseful
Q295,Q295_R42,Q295_R42_C2,0.87,412,0.94,0.439,Good
Q295,Q295_R42,Q295_R42_C3,1.0,98,0.3,-0.006,Bad
Q295,Q295_R42,Q295_R42_C4,0.863,98,0.911,0.398,Bad
Q295,Q295_R42,Q295_R42_C5,0.92,111,0.912,0.388,Bad
Q295,Q295_R42,Q295_R42_C6,0.95,22,0.869,0.252,Bad
Q295,Q295_R42,Q295_R42_C7,0.932,67,0.863,0.282,Bad
Q295,Q295_R42,Q295_R42_C8,0.927,157,0.902,0.07,Bad
Q295,Q295_R42,Q295_R42_C9,0.931,71,0.869,0.232,Bad
Q295,Q295_R42,Q295_R42_C10,0.866,107,0.951,0.312,Good
Q295,Q295_R50,Q295_R50_C1,0.963,128,0.851,0.249,Good
Q295,Q295_R50,Q295_R50_C2,0.923,508,0.856,0.291,Good
Q295,Q295_R50,Q295_R50_C3,0.952,80,0.671,-0.039,Bad
Q295,Q295_R50,Q295_R50_C4,0.963,65,0.825,0.138,Bad
Q295,Q295_R50,Q295_R50_C5,0.933,76,0.863,0.404,PotentiallyUseful
Q295,Q295_R50,Q295_R50_C6,0.969,28,0.797,0.303,Good
Q295,Q295_R50,Q295_R50_C7,1.0,54,0.734,0.178,Bad
Q295,Q295_R50,Q295_R50_C8,0.938,16,0.867,0.253,Bad
Q295,Q295_R50,Q295_R50_C9,0.924,635,0.843,0.225,Good
Q295,Q295_R50,Q295_R50_C10,0.934,305,0.866,0.402,Good
Q295,Q295_R61,Q295_R61_C1,0.871,118,0.872,0.058,Bad
Q295,Q295_R61,Q295_R61_C2,0.897,118,0.625,0.452,Bad
Q295,Q295_R61,Q295_R61_C3,0.909,352,0.955,0.2,PotentiallyUseful
Q295,Q295_R61,Q295_R61_C4,0.901,168,0.946,0.111,Good
Q295,Q295_R61,Q295_R61_C5,0.933,115,0.848,0.324,Good
Q295,Q295_R61,Q295_R61_C6,0.933,23,0.913,0.254,Bad
Q295,Q295_R61,Q295_R61_C7,0.885,50,0.944,0.197,Bad
Q295,Q295_R61,Q295_R61_C8,0.943,62,0.566,0.229,Bad
Q295,Q295_R61,Q295_R61_C9,0.896,20,0.95,0.317,Bad
Q295,Q295_R61,Q295_R61_C10,0.895,80,0.905,0.179,Bad
Q295,Q295_R63,Q295_R63_C1,0.967,388,0.645,0.144,Bad
Q295,Q295_R63,Q295_R63_C2,0.958,294,0.82,0.633,Bad
Q295,Q295_R63,Q295_R63_C3,0.973,308,0.816,0.088,Bad
Q295,Q295_R63,Q295_R63_C4,0.968,376,0.477,0.658,Bad
Q295,Q295_R63,Q295_R63_C5,0.985,330,0.543,0.532,Bad
Q295,Q295_R63,Q295_R63_C6,0.915,280,0.805,0.669,Bad
Q295,Q295_R63,Q295_R63_C7,1.0,396,0.439,0.398,Bad
Q295,Q295_R63,Q295_R63_C8,0.947,292,0.843,0.106,Bad
Q295,Q295_R63,Q295_R63_C9,1.0,404,0.623,0.197,Bad
Q295,Q295_R63,Q295_R63_C10,0.984,393,0.695,0.285,Bad
Q296,Q296_R17,Q296_R17_C1,0.974,2,0.87,0.14,Bad
Q296,Q296_R17,Q296_R17_C2,0.958,61,0.784,0.064,Good
Q296,Q296_R17,Q296_R17_C3,1.0,19,0.677,-0.025,Good
Q296,Q296_R17,Q296_R17_C4,0.903,3,0.899,0.552,Good
Q296,Q296_R17,Q296_R17_C5,0.947,12,0.894,0.398,Bad
Q296,Q296_R17,Q296_R17_C6,1.0,84,0.769,0.172,Bad
Q296,Q296_R17,Q296_R17_C7,1.0,9,0.881,0.222,Bad
Q296,Q296_R17,Q296_R17_C8,0.966,53,0.857,0.179,Good
Q296,Q296_R17,Q296_R17_C9,0.92,55,0.833,0.25,Good
Q296,Q296_R17,Q296_R17_C10,0.9,73,0.89,0.418,Bad
Q296,Q296_R21,Q296_R21_C1,0.919,132,0.94,0.501,Good
Q296,Q296_R21,Q296_R21_C2,0.836,13,0.963,0.573,Good
Q296,Q296_R21,Q296_R21_C3,0.962,200,0.87,0.224,Bad
Q296,Q296_R21,Q296_R21_C4,0.904,67,0.948,0.382,PotentiallyUseful
Q296,Q296_R21,Q296_R21_C5,0.906,172,0.913,0.363,Good
Q296,Q296_R21,Q296_R21_C6,0.86,134,0.927,0.298,Bad
Q296,Q296_R21,Q296_R21_C7,0.948,35,0.931,0.22,Good
Q296,Q296_R21,Q296_R21_C8,0.946,172,0.881,0.037,Good
Q296,Q296_R21,Q296_R21_C9,0.98,224,0.874,0.259,Bad
Q296,Q296_R21,Q296_R21_C10,0.983,149,0.867,0.129,Good
Q296,Q296_R22,Q296_R22_C1,0.975,156,0.884,0.254,Bad
Q296,Q296_R22,Q296_R22_C2,0.953,145,0.898,0.313,Good
Q296,Q296_R22,Q296_R22_C3,0.953,131,0.896,0.427,Good
Q296,Q296_R22,Q296_R22_C4,0.864,121,0.938,0.431,Bad
Q296,Q296_R22,Q296_R22_C5,0.977,134,0.864,0.023,Bad
Q296,Q296_R22,Q296_R22_C6,1.0,178,0.552,-0.152,Good
Q296,Q296_R22,Q296_R22_C7,0.973,176,0.706,-0.103,Bad
Q296,Q296_R22,Q296_R22_C8,1.0,175,0.774,0.033,Bad
Q296,Q296_R22,Q296_R22_C9,0.947,55,0.913,0.314,PotentiallyUseful
Q296,Q296_R22,Q296_R22_C10,1.0,166,0.823,0.29,Bad
Q296,Q296_R26,Q296_R26_C1,0.92,330,0.97,0.482,Good
Q296,Q296_R26,Q296_R26_C2,0.962,403,0.789,0.062,PotentiallyUseful
Q296,Q296_R26,Q296_R26_C3,0.846,320,0.976,0.517,Bad
Q296,Q296_R26,Q296_R26_C4,0.888,78,0.965,0.44,Bad
Q296,Q296_R26,Q296_R26_C5,0.874,232,0.971,0.381,Bad
Q296,Q296_R26,Q296_R26_C6,0.762,118,0.977,0.581,Good
Q296,Q296_R26,Q296_R26_C7,0.988,417,0.628,0.009,Bad
Q296,Q296_R26,Q296_R26_C8,0.944,370,0.917,0.333,Good
Q296,Q296_R26,Q296_R26_C9,0.955,351,0.841,0.141,Bad
Q296,Q296_R26,Q296_R26_C10,0.894,296,0.972,0.491,PotentiallyUseful
Q296,Q296_R27,Q296_R27_C1,0.952,206,0.723,0.225,Good
Q296,Q296_R27,Q296_R27_C2,0.964,132,0.882,0.268,Good
Q296,Q296_R27,Q296_R27_C3,0.98,164,0.872,0.155,Bad
Q296,Q296_R27,Q296_R27_C4,1.0,222,0.284,0.132,Bad
Q296,Q296_R27,Q296_R27_C5,0.932,192,0.819,0.209,Good
Q296,Q296_R27,Q296_R27_C6,0.952,206,0.76,0.046,Good
Q296,Q296_R27,Q296_R27_C7,0.945,95,0.689,0.186,Bad
Q296,Q296_R27,Q296_R27_C8,0.935,116,0.896,0.174,Bad
Q296,Q296_R27,Q296_R27_C9,0.978,173,0.746,0.206,PotentiallyUseful
Q296,Q296_R27,Q296_R27_C10,0.982,100,0.835,0.123,Bad
Q296,Q296_R45,Q296_R45_C1,0.8,213,0.96,0.512,Good
Q296,Q296_R45,Q296_R45_C2,0.87,166,0.955,0.464,Bad
Q296,Q296_R45,Q296_R45_C3,0.871,155,0.932,0.567,Good
Q296,Q296_R45,Q296_R45_C4,0.982,281,0.817,0.201,Good
Q296,Q296_R45,Q296_R45_C5,0.872,83,0.959,0.55,Good
Q296,Q296_R45,Q296_R45_C6,0.969,245,0.928,0.341,Good
Q296,Q296_R45,Q296_R45_C7,0.865,41,0.959,0.529,PotentiallyUseful
Q296,Q296_R45,Q296_R45_C8,0.844,111,0.951,0.572,Good
Q296,Q296_R45,Q296_R45_C9,0.929,23,0.947,0.423,PotentiallyUseful
Q296,Q296_R45,Q296_R45_C10,0.909,108,0.949,0.288,Bad
Q296,Q296_R50,Q296_R50_C1,0.878,198,0.956,0.232,Good
Q296,Q296_R50,Q296_R50_C2,0.901,148,0.935,0.184,Good
Q296,Q296_R50,Q296_R50_C3,0.859,52,0.954,0.353,Bad
Q296,Q296_R50,Q296_R50_C4,0.875,331,0.97,0.396,Good
Q296,Q296_R50,Q296_R50_C5,0.857,491,0.969,0.351,Good
Q296,Q296_R50,Q296_R50_C6,0.912,139,0.912,-0.006,Good
Q296,Q296_R50,Q296_R50_C7,0.889,0,0.925,0.229,Good
Q296,Q296_R50,Q296_R50_C8,0.952,171,0.907,-0.034,Good
Q296,Q296_R50,Q296_R50_C9,0.911,115,0.906,0.061,Good
Q296,Q296_R50,Q296_R50_C10,0.953,134,0.913,0.137,Bad
Q296,Q296_R51,Q296_R51_C1,0.9,295,0.905,0.324,Good
Q296,Q296_R51,Q296_R51_C2,0.938,282,0.915,0.178,Good
Q296,Q296_R51,Q296_R51_C3,0.883,300,0.931,0.246,Bad
Q296,Q296_R51,Q296_R51_C4,0.983,323,0.722,0.081,Bad
Q296,Q296_R51,Q296_R51_C5,0.955,250,0.902,0.193,PotentiallyUseful
Q296,Q296_R51,Q296_R51_C6,0.971,244,0.909,0.013,Good
Q296,Q296_R51,Q296_R51_C7,0.882,32,0.954,0.196,PotentiallyUseful
Q296,Q296_R51,Q296_R51_C8,0.983,327,0.725,-0.122,Bad
Q296,Q296_R51,Q296_R51_C9,0.952,304,0.928,0.233,PotentiallyUseful
Q296,Q296_R51,Q296_R51_C10,0.951,310,0.886,0.257,Good
Q296,Q296_R52,Q296_R52_C1,0.932,298,0.85,0.462,Good
Q296,Q296_R52,Q296_R52_C2,0.827,170,0.977,0.814,Good
Q296,Q296_R52,Q296_R52_C3,1.0,329,0.0,-0.002,Bad
Q296,Q296_R52,Q296_R52_C4,0.922,261,0.949,0.603,Good
Q296,Q296_R52,Q296_R52_C5,0.934,290,0.928,0.443,PotentiallyUseful
Q296,Q296_R52,Q296_R52_C6,0.933,303,0.932,0.658,Bad
Q296,Q296_R52,Q296_R52_C7,0.921,283,0.933,0.517,PotentiallyUseful
Q296,Q296_R52,Q296_R52_C8,0.811,166,0.98,0.611,Good
Q296,Q296_R52,Q296_R52_C9,0.857,134,0.954,0.526,PotentiallyUseful
Q296,Q296_R52,Q296_R52_C10,0.761,204,0.973,0.701,Bad
Q296,Q296_R54,Q296_R54_C1,0.911,157,0.847,0.25,Good
Q296,Q296_R54,Q296_R54_C2,0.938,47,0.893,0.341,Good
Q296,Q296_R54,Q296_R54_C3,0.898,57,0.89,0.454,Good
Q296,Q296_R54,Q296_R54_C4,1.0,196,0.0,-0.007,Bad
Q296,Q296_R54,Q296_R54_C5,1.0,174,0.771,-0.079,Good
Q296,Q296_R54,Q296_R54_C6,0.962,130,0.842,0.208,Good
Q296,Q296_R54,Q296_R54_C7,0.717,113,0.86,0.632,Bad
Q296,Q296_R54,Q296_R54_C8,0.933,149,0.891,0.273,PotentiallyUseful
Q296,Q296_R54,Q296_R54_C9,0.957,157,0.891,0.248,Bad
Q296,Q296_R54,Q296_R54_C10,0.857,74,0.941,0.532,Good
Q297,Q297_R1,Q297_R1_C1,0.943,101,0.909,0.104,PotentiallyUseful
Q297,Q297_R1,Q297_R1_C2,0.887,147,0.947,0.204,PotentiallyUseful
Q297,Q297_R1,Q297_R1_C3,0.912,105,0.913,0.377,Good
Q297,Q297_R1,Q297_R1_C4,0.94,104,0.91,0.295,Good
Q297,Q297_R1,Q297_R1_C5,0.917,37,0.931,0.372,PotentiallyUseful
Q297,Q297_R1,Q297_R1_C6,0.907,9,0.943,0.215,PotentiallyUseful
Q297,Q297_R1,Q297_R1_C7,0.935,265,0.945,0.245,Good
Q297,Q297_R1,Q297_R1_C8,0.964,32,0.954,0.306,PotentiallyUseful
Q297,Q297_R1,Q297_R1_C9,0.891,6,0.956,0.428,PotentiallyUseful
Q297,Q297_R1,Q297_R1_C10,0.895,16,0.961,0.263,Bad
Q297,Q297_R17,Q297_R17_C1,0.875,132,0.944,0.48,Bad
Q297,Q297_R17,Q297_R17_C2,0.862,63,0.941,0.331,PotentiallyUseful
Q297,Q297_R17,Q297_R17_C3,0.714,136,0.968,0.662,Bad
Q297,Q297_R17,Q297_R17_C4,0.903,523,0.961,0.444,PotentiallyUseful
Q297,Q297_R17,Q297_R17_C5,0.945,218,0.939,0.282,Good
Q297,Q297_R17,Q297_R17_C6,0.9,185,0.932,0.19,PotentiallyUseful
Q297,Q297_R17,Q297_R17_C7,0.9,185,0.932,0.19,PotentiallyUseful
Q297,Q297_R17,Q297_R17_C8,0.884,389,0.962,0.333,Good
Q297,Q297_R17,Q297_R17_C9,0.885,19,0.953,0.422,Bad
