question1_id,related_comment_id,jaccard_distance,length_difference,cosine_similarity,bigram_similarity,w2v_cosine_similarity,relevance
,Q291_R36_C10,0.902,594,0.965,0.992,0.112,0
,Q291_R41_C1,0.901,309,0.951,0.990,0.243,0
,Q291_R41_C2,0.969,357,0.653,1.000,0.308,0
,Q291_R41_C3,0.953,153,0.530,1.000,-0.024,0
,Q291_R41_C4,0.919,235,0.917,0.992,0.126,0
,Q291_R41_C5,0.930,320,0.932,0.989,0.176,0
,Q291_R41_C6,0.970,336,0.863,1.000,0.037,0
,Q291_R41_C7,0.905,225,0.941,1.000,0.135,0
,Q291_R41_C8,0.912,257,0.897,1.000,0.064,0
,Q291_R41_C9,0.905,212,0.924,1.000,0.159,0
,Q291_R41_C10,0.958,312,0.918,0.989,0.038,0
,Q291_R45_C1,0.889,94,0.956,1.000,0.227,0
,Q291_R45_C2,0.902,230,0.951,1.000,0.045,0
,Q291_R45_C3,0.971,336,0.898,1.000,0.255,0
,Q291_R45_C4,0.912,255,0.941,0.991,0.167,0
,Q291_R45_C5,0.913,61,0.959,0.993,0.186,0
,Q291_R45_C6,0.916,238,0.950,1.000,0.265,0
,Q291_R45_C7,0.892,7,0.963,1.000,0.273,0
,Q291_R45_C8,0.952,364,0.842,1.000,0.223,0
,Q291_R45_C9,0.971,336,0.905,1.000,0.251,0
,Q291_R45_C10,0.934,179,0.926,1.000,0.067,0
,Q292_R7_C1,0.913,1,0.929,1.000,0.331,0
,Q292_R7_C2,0.902,41,0.920,1.000,0.429,0
,Q292_R7_C3,0.898,39,0.939,0.983,0.351,0
,Q292_R7_C4,0.912,460,0.948,1.000,0.370,0
,Q292_R7_C5,0.911,3,0.882,1.000,0.183,0
,Q292_R7_C6,0.903,194,0.952,1.000,0.520,0
,Q292_R7_C7,0.921,44,0.847,1.000,0.100,0
,Q292_R7_C8,0.946,121,0.936,1.000,0.516,0
,Q292_R7_C9,0.901,690,0.945,0.994,0.288,0
,Q292_R7_C10,0.928,193,0.927,0.988,0.287,0
,Q292_R9_C1,0.980,4,0.898,1.000,-0.003,0
,Q292_R9_C2,0.974,44,0.876,1.000,0.318,0
,Q292_R9_C3,0.965,56,0.920,1.000,0.107,0
,Q292_R9_C4,0.894,272,0.947,0.991,0.432,1
,Q292_R9_C5,0.922,351,0.960,1.000,0.381,0
,Q292_R9_C6,0.948,68,0.900,1.000,0.155,1
,Q292_R9_C7,0.933,11,0.896,1.000,0.067,1
,Q292_R9_C8,0.965,73,0.931,1.000,0.338,1
,Q292_R9_C9,0.981,41,0.943,1.000,0.468,1
,Q292_R9_C10,0.887,78,0.931,1.000,0.464,1
,Q292_R10_C1,0.907,383,0.951,0.985,0.266,1
,Q292_R10_C2,0.935,116,0.920,0.986,0.286,0
,Q292_R10_C3,0.922,45,0.901,0.982,0.233,1
,Q292_R10_C4,0.914,346,0.945,1.000,0.382,1
,Q292_R10_C5,0.950,324,0.930,1.000,0.263,1
,Q292_R10_C6,0.932,5,0.917,1.000,0.225,0
,Q292_R10_C7,0.925,171,0.945,1.000,0.518,0
,Q292_R10_C8,0.880,53,0.945,0.983,0.406,0
,Q292_R10_C9,0.884,6,0.926,1.000,0.343,0
,Q292_R10_C10,0.908,209,0.952,1.000,0.391,0
,Q292_R16_C1,0.909,69,0.946,1.000,0.577,0
,Q292_R16_C2,0.963,287,0.939,1.000,0.507,0
,Q292_R16_C3,0.933,21,0.922,1.000,0.465,0
,Q292_R16_C4,1.000,73,0.884,1.000,0.213,0
,Q292_R16_C5,0.903,157,0.936,1.000,0.363,0
,Q292_R16_C6,0.915,35,0.925,0.980,0.313,0
,Q292_R16_C7,0.909,72,0.947,1.000,0.598,0
,Q292_R16_C8,0.963,95,0.676,1.000,0.122,0
,Q292_R16_C9,1.000,51,0.892,1.000,0.288,0
,Q292_R16_C10,1.000,55,0.881,1.000,0.204,0
,Q292_R19_C1,0.977,3,0.908,1.000,0.438,1
,Q292_R19_C2,0.909,3,0.906,1.000,0.329,0
,Q292_R19_C3,0.912,62,0.866,0.972,0.340,0
,Q292_R19_C4,0.931,95,0.887,1.000,0.471,0
,Q292_R19_C5,0.974,37,0.874,1.000,0.353,0
,Q292_R19_C6,0.868,59,0.943,0.985,0.456,1
,Q292_R19_C7,0.909,61,0.930,0.983,0.489,1
,Q292_R19_C8,0.979,34,0.854,1.000,-0.139,1
,Q292_R19_C9,0.903,84,0.884,0.971,0.449,0
,Q292_R19_C10,0.927,280,0.942,1.000,0.346,0
,Q292_R37_C1,0.913,6,0.935,1.000,0.611,0
,Q292_R37_C2,0.825,10,0.944,0.978,0.454,0
,Q292_R37_C3,0.896,170,0.948,0.989,0.374,0
,Q292_R37_C4,0.926,75,0.933,1.000,0.260,0
,Q292_R37_C5,0.873,110,0.947,0.987,0.436,0
,Q292_R37_C6,0.889,34,0.913,1.000,0.463,0
,Q292_R37_C7,0.915,264,0.941,1.000,0.389,0
,Q292_R37_C8,0.939,42,0.939,1.000,0.354,0
,Q292_R37_C9,0.907,7,0.930,0.980,0.337,0
,Q292_R37_C10,0.973,55,0.896,1.000,0.481,0
,Q292_R39_C1,0.971,72,0.912,1.000,0.524,0
,Q292_R39_C2,0.933,390,0.929,1.000,0.210,0
,Q292_R39_C3,0.943,56,0.942,1.000,0.467,0
,Q292_R39_C4,1.000,83,0.656,1.000,0.130,0
,Q292_R39_C5,0.919,189,0.895,1.000,0.323,0
,Q292_R39_C6,0.925,10,0.931,1.000,0.481,0
,Q292_R39_C7,1.000,73,0.854,1.000,0.251,0
,Q292_R39_C8,0.884,12,0.938,1.000,0.521,0
,Q292_R39_C9,0.923,103,0.932,1.000,0.431,0
,Q292_R39_C10,0.955,11,0.923,1.000,0.319,0
,Q292_R44_C1,0.900,63,0.930,0.983,0.370,0
,Q292_R44_C2,0.929,258,0.933,1.000,0.126,0
,Q292_R44_C3,0.922,59,0.922,1.000,0.466,0
,Q292_R44_C4,0.926,718,0.927,1.000,0.315,0
,Q292_R44_C5,0.892,23,0.910,1.000,0.301,0
,Q292_R44_C6,0.935,10,0.893,1.000,0.238,0
,Q292_R44_C7,0.935,10,0.893,1.000,0.238,0
,Q292_R44_C8,0.937,584,0.924,1.000,0.028,0
,Q292_R44_C9,0.971,176,0.935,1.000,0.270,0
,Q292_R44_C10,0.913,155,0.947,1.000,0.456,0
,Q292_R49_C1,0.934,743,0.935,0.995,0.257,0
,Q292_R49_C2,0.892,158,0.929,1.000,0.242,0
,Q292_R49_C3,0.951,690,0.924,1.000,0.101,0
,Q292_R49_C4,0.864,1,0.936,1.000,0.416,0
,Q292_R49_C5,0.958,446,0.932,1.000,0.190,0
,Q292_R49_C6,0.941,61,0.929,1.000,0.204,0
,Q292_R49_C7,0.946,63,0.867,1.000,0.204,0
,Q292_R49_C8,0.968,79,0.833,1.000,0.227,0
,Q292_R49_C9,0.967,87,0.859,1.000,0.333,0
,Q292_R49_C10,0.967,84,0.721,1.000,-0.112,0
,Q292_R51_C1,0.923,64,0.925,1.000,0.369,0
,Q292_R51_C2,0.958,206,0.929,1.000,0.253,0
,Q292_R51_C3,1.000,32,0.877,1.000,0.110,0
,Q292_R51_C4,1.000,58,0.668,1.000,0.213,0
,Q292_R51_C5,0.967,89,0.822,1.000,0.269,0
,Q292_R51_C6,0.967,89,0.822,1.000,0.269,0
,Q292_R51_C7,0.948,362,0.824,1.000,0.115,0
,Q292_R51_C8,0.923,37,0.918,1.000,0.293,0
,Q292_R51_C9,0.963,333,0.934,1.000,0.103,0
,Q292_R51_C10,0.963,333,0.934,1.000,0.103,0
,Q293_R3_C1,0.933,128,0.812,1.000,0.261,0
,Q293_R3_C2,0.972,77,0.756,1.000,0.241,1
,Q293_R3_C3,0.938,118,0.851,1.000,0.291,1
,Q293_R3_C4,1.000,133,0.543,1.000,0.301,1
,Q293_R3_C5,0.906,117,0.871,0.943,0.242,1
,Q293_R3_C6,0.978,53,0.865,0.979,0.098,0
,Q293_R3_C7,0.956,43,0.915,1.000,0.208,0
,Q293_R3_C8,0.938,122,0.909,1.000,0.394,0
,Q293_R3_C9,0.924,87,0.942,1.000,0.158,1
,Q293_R3_C10,0.938,46,0.924,0.982,0.462,1
,Q293_R10_C1,0.918,11,0.941,0.982,0.287,1
,Q293_R10_C2,0.849,36,0.948,0.984,0.410,1
,Q293_R10_C3,1.000,129,0.792,1.000,0.122,0
,Q293_R10_C4,0.939,86,0.951,1.000,0.325,1
,Q293_R10_C5,0.923,467,0.950,1.000,0.153,1
,Q293_R10_C6,0.924,99,0.934,1.000,0.201,1
,Q293_R10_C7,0.962,36,0.943,0.984,0.431,1
,Q293_R10_C8,0.879,108,0.905,1.000,0.382,1
,Q293_R10_C9,1.000,110,0.905,1.000,0.273,0
,Q293_R10_C10,0.878,7,0.948,0.983,0.379,1
,Q293_R12_C1,0.935,124,0.872,1.000,0.441,0
,Q293_R12_C2,0.968,119,0.718,1.000,0.254,0
,Q293_R12_C3,0.943,61,0.877,0.974,0.174,0
,Q293_R12_C4,1.000,0,0.817,1.000,0.053,1
,Q293_R12_C5,0.944,89,0.887,1.000,0.252,0
,Q293_R12_C6,0.977,55,0.919,1.000,0.304,1
,Q293_R12_C7,0.944,1,0.913,1.000,0.042,0
,Q293_R12_C8,0.967,126,0.681,1.000,0.211,0
,Q293_R12_C9,0.919,139,0.905,1.000,0.266,1
,Q293_R12_C10,0.975,75,0.927,1.000,0.101,1
,Q293_R26_C1,0.897,87,0.933,1.000,0.269,0
,Q293_R26_C2,0.940,27,0.937,1.000,0.377,0
,Q293_R26_C3,0.938,96,0.949,1.000,0.304,0
,Q293_R26_C4,0.922,24,0.919,1.000,0.313,1
,Q293_R26_C5,0.936,4,0.907,1.000,0.095,0
,Q293_R26_C6,0.906,384,0.958,1.000,0.343,0
,Q293_R26_C7,0.964,0,0.917,1.000,0.037,0
,Q293_R26_C8,0.897,68,0.900,0.930,0.218,0
,Q293_R26_C9,0.949,357,0.930,1.000,0.129,0
,Q293_R26_C10,0.855,49,0.964,0.986,0.540,0
,Q293_R28_C1,0.971,110,0.808,1.000,-0.020,0
,Q293_R28_C2,0.950,85,0.888,1.000,0.175,0
,Q293_R28_C3,0.980,45,0.925,1.000,0.206,0
,Q293_R28_C4,0.974,87,0.843,1.000,0.007,0
,Q293_R28_C5,0.907,49,0.941,1.000,0.432,0
,Q293_R28_C6,0.911,39,0.945,1.000,0.431,0
,Q293_R28_C7,0.894,18,0.833,0.983,0.169,0
,Q293_R28_C8,0.944,111,0.879,1.000,0.145,0
,Q293_R28_C9,0.968,120,0.529,1.000,0.193,0
,Q293_R28_C10,0.934,64,0.942,1.000,0.190,0
,Q293_R29_C1,1.000,139,0.543,1.000,0.163,0
,Q293_R29_C2,0.958,5,0.833,0.982,0.083,0
,Q293_R29_C3,0.917,91,0.944,1.000,0.217,0
,Q293_R29_C4,0.879,64,0.952,0.986,0.314,0
,Q293_R29_C5,0.918,357,0.964,0.993,0.306,0
,Q293_R29_C6,0.970,113,0.890,1.000,0.121,0
,Q293_R29_C7,1.000,139,0.543,1.000,0.203,0
,Q293_R29_C8,0.955,78,0.946,1.000,0.325,0
,Q293_R29_C9,0.946,87,0.869,1.000,0.072,0
,Q293_R29_C10,0.971,115,0.882,1.000,0.326,0
,Q293_R32_C1,0.963,207,0.955,1.000,0.218,0
,Q293_R32_C2,1.000,128,0.555,1.000,0.166,0
,Q293_R32_C3,0.950,18,0.794,0.977,0.081,0
,Q293_R32_C4,0.964,62,0.908,1.000,0.044,0
,Q293_R32_C5,0.970,115,0.829,1.000,0.120,0
,Q293_R32_C6,0.941,104,0.881,1.000,0.352,0
,Q293_R32_C7,0.930,62,0.874,1.000,0.162,0
,Q293_R32_C8,1.000,108,0.871,1.000,0.295,0
,Q293_R32_C9,0.864,277,0.947,1.000,0.241,0
,Q293_R32_C10,0.922,33,0.909,1.000,0.120,0
,Q293_R51_C1,0.946,354,0.935,1.000,0.148,0
,Q293_R51_C2,0.915,861,0.956,0.991,0.208,0
,Q293_R51_C3,0.895,79,0.919,1.000,0.341,0
,Q293_R51_C4,0.951,71,0.883,1.000,0.288,0
,Q293_R51_C5,0.930,157,0.900,1.000,0.011,0
,Q293_R51_C6,0.923,336,0.716,1.000,0.228,0
,Q293_R51_C7,0.926,436,0.740,1.000,0.090,0
,Q293_R51_C8,0.895,71,0.870,0.976,0.159,0
,Q293_R51_C9,0.958,296,0.933,1.000,0.042,0
,Q293_R51_C10,0.952,381,0.935,1.000,0.039,0
,Q293_R58_C1,0.952,63,0.888,1.000,0.237,0
,Q293_R58_C2,0.971,110,0.816,1.000,0.213,0
,Q293_R58_C3,0.906,4,0.939,1.000,0.280,0
,Q293_R58_C4,0.951,70,0.875,1.000,0.095,0
,Q293_R58_C5,0.976,71,0.868,1.000,-0.087,0
,Q293_R58_C6,0.977,71,0.870,1.000,0.117,0
,Q293_R58_C7,0.973,105,0.885,1.000,0.214,0
,Q293_R58_C8,0.950,83,0.904,1.000,0.213,0
,Q293_R58_C9,0.917,97,0.856,1.000,0.020,0
,Q293_R58_C10,0.950,87,0.909,1.000,0.275,0
,Q293_R60_C1,0.947,40,0.939,1.000,0.375,0
,Q293_R60_C2,0.898,44,0.937,1.000,0.161,0
,Q293_R60_C3,0.911,212,0.926,1.000,0.095,0
,Q293_R60_C4,0.948,210,0.961,1.000,0.342,0
,Q293_R60_C5,0.910,314,0.947,1.000,0.387,0
,Q293_R60_C6,0.917,145,0.957,1.000,0.271,0
,Q293_R60_C7,0.933,552,0.951,1.000,0.282,0
,Q293_R60_C8,0.931,19,0.902,1.000,0.053,0
,Q293_R60_C9,0.914,135,0.939,1.000,0.335,0
,Q293_R60_C10,0.945,12,0.848,1.000,-0.086,0
,Q294_R2_C1,0.842,24,0.909,1.000,0.583,1
,Q294_R2_C2,0.800,110,0.926,0.974,0.663,0
,Q294_R2_C3,0.907,286,0.953,0.986,0.636,1
,Q294_R2_C4,0.864,189,0.948,0.940,0.665,1
,Q294_R2_C5,0.941,1,0.838,1.000,0.411,0
,Q294_R2_C6,0.929,88,0.930,1.000,0.511,1
,Q294_R2_C7,0.947,7,0.872,1.000,0.501,1
,Q294_R2_C8,0.900,331,0.943,0.988,0.650,0
,Q294_R2_C9,0.947,10,0.887,1.000,0.410,1
,Q294_R2_C10,0.957,181,0.900,1.000,0.483,0
,Q294_R12_C1,1.000,26,0.834,1.000,0.394,0
,Q294_R12_C2,1.000,10,0.874,1.000,0.489,0
,Q294_R12_C3,0.815,67,0.925,0.969,0.628,0
,Q294_R12_C4,0.939,101,0.899,1.000,0.531,0
,Q294_R12_C5,0.867,2,0.865,1.000,0.558,0
,Q294_R12_C6,0.905,27,0.882,1.000,0.389,0
,Q294_R12_C7,0.909,196,0.941,0.960,0.590,0
,Q294_R12_C8,0.894,244,0.924,0.969,0.503,0
,Q294_R12_C9,0.903,94,0.897,0.971,0.588,0
,Q294_R12_C10,0.942,342,0.899,0.986,0.397,1
,Q294_R13_C1,0.967,70,0.883,1.000,0.436,0
,Q294_R13_C2,0.946,138,0.890,1.000,0.390,0
,Q294_R13_C3,1.000,25,0.858,1.000,0.308,0
,Q294_R13_C4,1.000,17,0.861,1.000,0.517,0
,Q294_R13_C5,1.000,1,0.849,1.000,0.440,0
,Q294_R13_C6,0.815,79,0.943,0.900,0.619,0
,Q294_R13_C7,0.939,395,0.907,1.000,0.375,0
,Q294_R13_C8,0.973,131,0.876,1.000,0.311,0
,Q294_R13_C9,1.000,27,0.000,1.000,0.011,0
,Q294_R13_C10,0.920,36,0.840,1.000,0.371,0
,Q294_R24_C1,0.935,76,0.882,1.000,0.532,0
,Q294_R24_C2,0.786,2,0.903,1.000,0.609,0
,Q294_R24_C3,0.941,13,0.852,1.000,0.508,0
,Q294_R24_C4,0.962,599,0.910,0.992,0.431,0
,Q294_R24_C5,0.944,235,0.911,1.000,0.475,0
,Q294_R24_C6,0.900,32,0.897,1.000,0.323,0
,Q294_R24_C7,0.944,153,0.901,1.000,0.340,0
,Q294_R24_C8,0.966,51,0.895,1.000,0.486,0
,Q294_R24_C9,0.969,103,0.906,1.000,0.396,0
,Q294_R24_C10,0.837,171,0.891,0.983,0.560,0
,Q294_R26_C1,1.000,7,0.681,1.000,0.145,0
,Q294_R26_C2,1.000,16,0.679,1.000,0.139,0
,Q294_R26_C3,0.940,383,0.915,1.000,0.421,0
,Q294_R26_C4,0.907,156,0.869,0.980,0.463,0
,Q294_R26_C5,0.947,18,0.872,1.000,0.430,0
,Q294_R26_C6,0.950,20,0.908,1.000,0.443,0
,Q294_R26_C7,1.000,57,0.865,1.000,0.256,0
,Q294_R26_C8,0.952,322,0.914,1.000,0.259,0
,Q294_R26_C9,1.000,62,0.875,1.000,0.296,0
,Q294_R26_C10,0.972,133,0.821,1.000,0.231,0
,Q294_R46_C1,0.933,72,0.916,1.000,0.519,1
,Q294_R46_C2,0.950,23,0.899,1.000,0.295,1
,Q294_R46_C3,0.951,434,0.877,1.000,0.376,1
,Q294_R46_C4,0.961,397,0.925,1.000,0.495,1
,Q294_R46_C5,0.977,967,0.801,1.000,-0.008,1
,Q294_R46_C6,0.963,216,0.915,1.000,0.491,1
,Q294_R46_C7,0.957,429,0.919,1.000,0.396,1
,Q294_R46_C8,0.880,52,0.877,1.000,0.490,0
,Q294_R46_C9,0.952,181,0.915,1.000,0.386,0
,Q294_R46_C10,0.903,111,0.867,1.000,0.446,0
,Q294_R47_C1,0.864,38,0.902,1.000,0.503,0
,Q294_R47_C2,0.917,159,0.936,0.979,0.556,1
,Q294_R47_C3,1.000,78,0.878,1.000,0.403,1
,Q294_R47_C4,0.920,66,0.896,1.000,0.576,0
,Q294_R47_C5,0.795,172,0.944,0.963,0.713,0
,Q294_R47_C6,1.000,86,0.899,1.000,0.279,0
,Q294_R47_C7,0.943,222,0.956,0.984,0.521,1
,Q294_R47_C8,0.925,146,0.897,0.979,0.456,0
,Q294_R47_C9,0.920,48,0.937,0.962,0.675,0
,Q294_R47_C10,0.864,34,0.909,0.909,0.609,0
,Q294_R86_C1,0.917,148,0.926,1.000,0.569,0
,Q294_R86_C2,0.941,94,0.882,1.000,0.515,0
,Q294_R86_C3,0.886,136,0.928,0.953,0.556,1
,Q294_R86_C4,0.875,99,0.902,1.000,0.496,0
,Q294_R86_C5,0.933,93,0.869,1.000,0.405,0
,Q294_R86_C6,0.976,141,0.854,1.000,0.230,0
,Q294_R86_C7,0.914,121,0.899,1.000,0.492,0
,Q294_R86_C8,0.917,304,0.916,0.975,0.553,0
,Q294_R86_C9,0.925,137,0.901,1.000,0.541,1
,Q294_R86_C10,0.857,69,0.909,1.000,0.533,0
,Q294_R94_C1,0.902,132,0.920,0.957,0.596,0
,Q294_R94_C2,0.896,240,0.934,0.984,0.534,0
,Q294_R94_C3,0.927,161,0.908,0.979,0.367,0
,Q294_R94_C4,0.984,308,0.915,1.000,0.474,0
,Q294_R94_C5,0.938,352,0.914,1.000,0.525,0
,Q294_R94_C6,0.964,60,0.886,1.000,0.372,0
,Q294_R94_C7,0.913,31,0.875,1.000,0.403,0
,Q294_R94_C8,0.762,43,0.938,0.800,0.723,0
,Q294_R94_C9,1.000,21,0.685,1.000,0.135,0
,Q294_R94_C10,1.000,85,0.839,1.000,0.188,0
,Q294_R98_C1,1.000,37,0.233,1.000,-0.062,0
,Q294_R98_C2,0.977,188,0.899,1.000,0.371,0
,Q294_R98_C3,1.000,98,0.889,1.000,0.362,0
,Q294_R98_C4,0.955,334,0.875,0.988,0.172,0
,Q294_R98_C5,0.938,49,0.719,1.000,0.017,0
,Q294_R98_C6,1.000,84,0.876,1.000,0.450,0
,Q294_R98_C7,0.918,422,0.907,0.981,0.603,0
,Q294_R98_C8,0.952,35,0.841,1.000,0.461,0
,Q294_R98_C9,0.839,109,0.920,0.974,0.585,0
,Q294_R98_C10,1.000,5,0.813,1.000,0.326,0
,Q295_R17_C1,0.897,11,0.893,1.000,0.258,0
,Q295_R17_C2,1.000,127,0.794,1.000,-0.122,0
,Q295_R17_C3,0.947,172,0.789,1.000,0.109,0
,Q295_R17_C4,0.951,157,0.835,1.000,0.249,0
,Q295_R17_C5,0.959,119,0.865,1.000,0.139,0
,Q295_R17_C6,0.953,141,0.654,1.000,0.052,0
,Q295_R17_C7,0.857,46,0.909,1.000,0.224,0
,Q295_R17_C8,0.944,61,0.906,1.000,0.195,0
,Q295_R17_C9,0.975,149,0.816,1.000,0.085,0
,Q295_R17_C10,1.000,89,0.856,1.000,0.044,0
,Q295_R28_C1,0.955,130,0.903,1.000,0.091,0
,Q295_R28_C2,0.952,141,0.856,1.000,0.143,0
,Q295_R28_C3,0.918,6,0.936,1.000,0.317,0
,Q295_R28_C4,0.940,110,0.897,1.000,0.430,0
,Q295_R28_C5,0.863,94,0.894,0.985,0.372,0
,Q295_R28_C6,0.917,106,0.895,1.000,0.167,0
,Q295_R28_C7,0.979,134,0.862,1.000,0.061,0
,Q295_R28_C8,0.925,154,0.853,1.000,0.302,0
,Q295_R28_C9,0.932,146,0.899,1.000,0.249,0
,Q295_R28_C10,0.935,123,0.799,1.000,0.132,0
,Q295_R31_C1,0.936,97,0.878,1.000,0.118,0
,Q295_R31_C2,0.897,2,0.927,1.000,0.334,0
,Q295_R31_C3,0.900,9,0.925,1.000,0.286,0
,Q295_R31_C4,0.955,33,0.907,1.000,0.086,0
,Q295_R31_C5,0.962,81,0.890,1.000,0.206,0
,Q295_R31_C6,1.000,176,0.783,1.000,0.054,0
,Q295_R31_C7,0.950,169,0.832,1.000,0.273,0
,Q295_R31_C8,0.955,147,0.744,1.000,0.130,0
,Q295_R31_C9,1.000,173,0.789,1.000,0.180,0
,Q295_R31_C10,0.893,50,0.910,1.000,0.249,0
,Q295_R32_C1,0.925,267,0.929,1.000,0.084,0
,Q295_R32_C2,0.907,77,0.934,1.000,0.288,0
,Q295_R32_C3,0.885,15,0.912,1.000,0.308,0
,Q295_R32_C4,0.950,44,0.887,1.000,0.090,0
,Q295_R32_C5,0.910,171,0.910,1.000,0.347,0
,Q295_R32_C6,0.923,781,0.922,0.992,-0.000,0
,Q295_R32_C7,0.941,1,0.921,1.000,0.338,0
,Q295_R32_C8,0.933,707,0.947,1.000,0.252,0
,Q295_R32_C9,0.913,76,0.936,0.980,0.211,0
,Q295_R32_C10,0.931,795,0.921,1.000,0.036,0
,Q295_R38_C1,0.927,160,0.871,1.000,0.220,0
,Q295_R38_C2,0.881,19,0.924,1.000,0.394,0
,Q295_R38_C3,0.923,82,0.880,1.000,0.180,0
,Q295_R38_C4,0.852,12,0.841,1.000,0.377,0
,Q295_R38_C5,0.786,114,0.901,1.000,0.557,0
,Q295_R38_C6,0.950,101,0.771,1.000,0.153,0
,Q295_R38_C7,0.939,92,0.829,1.000,-0.017,0
,Q295_R38_C8,0.979,129,0.861,1.000,0.329,0
,Q295_R38_C9,0.881,150,0.907,1.000,0.240,0
,Q295_R38_C10,0.930,147,0.876,1.000,0.183,0
,Q295_R40_C1,0.933,128,0.896,1.000,0.084,0
,Q295_R40_C2,0.893,74,0.915,1.000,0.276,0
,Q295_R40_C3,0.948,60,0.905,1.000,0.122,0
,Q295_R40_C4,0.925,16,0.910,1.000,0.191,0
,Q295_R40_C5,0.952,152,0.833,1.000,0.013,0
,Q295_R40_C6,1.000,135,0.745,1.000,-0.167,0
,Q295_R40_C7,0.898,456,0.937,0.994,0.183,0
,Q295_R40_C8,0.870,61,0.896,1.000,0.313,0
,Q295_R40_C9,0.939,106,0.851,1.000,0.350,0
,Q295_R40_C10,0.841,113,0.902,0.966,0.518,0
,Q295_R42_C1,0.957,106,0.872,1.000,0.080,0
,Q295_R42_C2,0.877,415,0.957,1.000,0.326,0
,Q295_R42_C3,1.000,95,0.378,1.000,-0.054,0
,Q295_R42_C4,0.902,95,0.885,1.000,0.249,0
,Q295_R42_C5,0.870,108,0.891,1.000,0.204,0
,Q295_R42_C6,0.966,19,0.863,1.000,-0.041,0
,Q295_R42_C7,0.891,64,0.916,1.000,0.124,0
,Q295_R42_C8,0.925,160,0.917,1.000,0.035,0
,Q295_R42_C9,0.909,68,0.880,1.000,0.175,0
,Q295_R42_C10,0.904,110,0.903,1.000,0.017,0
,Q295_R50_C1,0.909,32,0.911,1.000,0.127,0
,Q295_R50_C2,0.860,412,0.934,0.994,0.248,0
,Q295_R50_C3,0.973,176,0.673,1.000,0.112,0
,Q295_R50_C4,0.977,161,0.825,1.000,0.124,0
,Q295_R50_C5,0.951,20,0.918,1.000,0.155,0
,Q295_R50_C6,0.860,124,0.881,1.000,0.493,0
,Q295_R50_C7,1.000,150,0.731,1.000,0.146,0
,Q295_R50_C8,0.958,112,0.805,1.000,-0.145,0
,Q295_R50_C9,0.926,539,0.921,1.000,0.135,0
,Q295_R50_C10,0.910,209,0.944,1.000,0.358,0
,Q295_R61_C1,0.914,53,0.847,1.000,0.307,0
,Q295_R61_C2,0.973,183,0.552,1.000,0.267,0
,Q295_R61_C3,0.914,287,0.937,1.000,0.284,0
,Q295_R61_C4,0.909,103,0.934,0.991,0.078,0
,Q295_R61_C5,1.000,180,0.733,1.000,0.188,0
,Q295_R61_C6,0.851,88,0.933,1.000,0.419,0
,Q295_R61_C7,0.933,15,0.913,1.000,0.097,0
,Q295_R61_C8,0.951,127,0.536,1.000,0.028,0
,Q295_R61_C9,0.927,85,0.915,1.000,0.277,0
,Q295_R61_C10,0.905,15,0.905,1.000,0.437,0
,Q295_R63_C1,0.974,153,0.598,1.000,-0.042,0
,Q295_R63_C2,0.980,59,0.660,1.000,-0.100,0
,Q295_R63_C3,1.000,73,0.891,1.000,0.140,0
,Q295_R63_C4,0.976,141,0.413,1.000,-0.058,0
,Q295_R63_C5,1.000,95,0.485,1.000,-0.127,0
,Q295_R63_C6,1.000,45,0.677,1.000,-0.052,0
,Q295_R63_C7,1.000,161,0.438,1.000,0.087,0
,Q295_R63_C8,1.000,57,0.899,1.000,0.095,0
,Q295_R63_C9,1.000,169,0.716,1.000,0.204,0
,Q295_R63_C10,1.000,158,0.648,1.000,-0.126,0
,Q296_R17_C1,0.946,22,0.914,1.000,0.162,0
,Q296_R17_C2,0.958,41,0.815,1.000,0.145,1
,Q296_R17_C3,1.000,39,0.707,1.000,0.004,1
,Q296_R17_C4,1.000,23,0.858,1.000,0.344,1
,Q296_R17_C5,0.857,8,0.923,1.000,0.406,1
,Q296_R17_C6,0.952,64,0.759,1.000,0.293,0
,Q296_R17_C7,1.000,29,0.862,1.000,0.158,0
,Q296_R17_C8,0.966,33,0.909,1.000,0.260,1
,Q296_R17_C9,0.962,35,0.824,1.000,0.183,1
,Q296_R17_C10,0.952,53,0.812,1.000,0.168,0
,Q296_R21_C1,0.921,35,0.931,1.000,0.401,1
,Q296_R21_C2,0.965,180,0.920,1.000,0.311,1
,Q296_R21_C3,1.000,33,0.839,1.000,0.145,0
,Q296_R21_C4,0.934,234,0.932,0.988,0.347,1
,Q296_R21_C5,0.968,5,0.879,1.000,0.268,1
,Q296_R21_C6,0.974,33,0.895,1.000,0.125,0
,Q296_R21_C7,0.962,132,0.900,1.000,0.126,1
,Q296_R21_C8,1.000,5,0.846,1.000,0.072,1
,Q296_R21_C9,0.909,57,0.864,1.000,0.165,0
,Q296_R21_C10,1.000,18,0.839,1.000,0.305,0
,Q296_R22_C1,0.955,57,0.869,1.000,0.296,0
,Q296_R22_C2,1.000,46,0.834,1.000,0.246,0
,Q296_R22_C3,0.920,32,0.885,1.000,0.341,1
,Q296_R22_C4,0.769,22,0.929,0.969,0.490,0
,Q296_R22_C5,0.962,35,0.861,1.000,0.149,0
,Q296_R22_C6,1.000,79,0.550,1.000,-0.017,0
,Q296_R22_C7,1.000,77,0.657,1.000,0.021,0
,Q296_R22_C8,1.000,76,0.736,1.000,-0.088,0
